"","web-scraper-order","web-scraper-start-url","handle","name","content","replies","retweets","favorites","unix_timestamp","published_date","url"
"1","1555289286-15351","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Theresa May just been presented with a No 10 shirtpic.twitter.com/KnJXeNSlXs",7,"12","28",1.53e+12,2018-06-28 06:33:00,"/lisaocarroll/status/1012328126473531392"
"2","1555289286-15350","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","May delighted to be presented with Belgian No 10 shirtpic.twitter.com/Kg7W5h4Evo",3,"9","13",1.53e+12,2018-06-28 06:34:00,"/lisaocarroll/status/1012328387870887937"
"3","1555289286-15349","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Ireland could bring in 'Ryanair-type' passport checks after Brexit - this is what recently retired Brexit chief of Irish Revenue told me last week... preps for border (east west) are well underway in Ireland folkshttps://www.theguardian.com/politics/2018/jun/21/brexit-ireland-could-bring-in-ryanair-type-passport-controls?CMP=share_btn_tw<U+00A0>¡¦",NA,"8","9",1.53e+12,2018-06-28 08:28:00,"/lisaocarroll/status/1012357051526402053"
"4","1555289286-15348","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","The EU is a hedgehog not a fox. Very insightful piece on why the UK is asking the EC to do something not in its gift - to change the legal order and rule book that holds the EU together.    https://www.wsj.com/articles/brexit-britain-shouting-at-foreigners-1530138488<U+00A0>¡¦ via @WSJ",1,"8","19",1.53e+12,2018-06-28 09:05:00,"/lisaocarroll/status/1012366469949263873"
"5","1555289286-15347","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Want to be a sub editor? An important job in every newsroom. Guardian launching a trainee scheme. Details here.  https://workforus.theguardian.com/entry-level-opportunities/trainee-sub-editor-scheme/<U+00A0>¡¦",8,"49","36",1.53e+12,2018-06-28 10:43:00,"/lisaocarroll/status/1012390997588873217"
"6","1555289286-15346","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Captions please. May doubled over with laughter at meeting with Varadkar.pic.twitter.com/X2NLWIxZj3",28,"7","14",1.53e+12,2018-06-29 00:39:00,"/lisaocarroll/status/1012601523287810050"
"7","1555289286-15345","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Five colleagues dead in newsroom. This is what they did. Put out today's edition in defiance of gun violence bleeding Americahttps://twitter.com/mePadraigReidy/status/1012604552946864129<U+00A0>¡¦",NA,"6","19",1.53e+12,2018-06-29 00:57:00,"/lisaocarroll/status/1012605846940012544"
"8","1555289286-15344","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","Eastenders star Danny Dyer on TV last night. ""Nobody knows what Brexit is.... What¡¯s happened to that twat David Cameron.? How comes he was allowed scuttle off. Where is he? He is in Nice with his trotters up. I think he should be held accountable for it. Twat"". https://twitter.com/cjsnowdon/status/1012439971188310017<U+00A0>¡¦",3,"7","43",1.53e+12,2018-06-29 01:09:00,"/lisaocarroll/status/1012609048338944000"
"9","1555289286-15343","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","FOLLOW LIVE Barnier says 'huge and serious' gap remains between UK and EU demands on Brexit <U+2013> Politics livehttps://www.theguardian.com/world/live/2018/jun/29/eu-summit-european-leaders-migration-deal-brexit-theresa-may-live-updates?CMP=share_btn_tw&page=with:block-5b35f17ce4b08b4490eacc70#block-5b35f17ce4b08b4490eacc70<U+00A0>¡¦",1,"7","5",1.53e+12,2018-06-29 02:13:00,"/lisaocarroll/status/1012625088754126849"
"10","1555289286-15342","https://twitter.com/search?l=&q=from%3Alisaocarroll%20since%3A2016-07-13%20until%3A2019-04-14&src=typd&lang=en","@lisaocarroll","lisa o'carroll","BREAKING Hillsborough police commander David Duckenfield to face manslaughter trialhttps://www.theguardian.com/uk-news/2018/jun/29/hillsborough-police-commander-david-duckenfield-to-face-manslaughter-trial?CMP=share_btn_tw<U+00A0>¡¦",2,"7","11",1.53e+12,2018-06-29 03:08:00,"/lisaocarroll/status/1012638960605171712"
